metro,name,area_type,score,stability,civic,engagement,stability_blend_pct,tract_long_tenure_pct,same_house_pct_b07003,civic_nodes,civic_weighted,civic_radius_m,orgs_per_1k,participation_mix
LA,Boyle Heights,urban_core,49.1,67.1,41.4,38.8,89.6,88.57,94.69,29,33.75,600,0.567,full
NYC,Brighton Beach,urban_core,48.8,55.1,51.8,39.4,84.9,79.47,96.02,52,49.5,600,0.259,full
NYC,Kensington,urban_core,48.6,67.1,27.0,51.7,89.1,87.73,92.8,13,13.5,600,1.761,full
NYC,Montclair,urban_residential,48.4,16.0,82.8,46.4,68.9,66.08,80.26,24,20.25,600,0.941,full
NYC,Fort Lee,urban_residential,48.3,11.9,95.0,38.0,66.7,51.04,79.65,20,27.0,600,0.875,full
LA,Atwater Village,urban_residential,48.1,45.5,45.0,53.9,81.8,77.39,83.81,13,9.5,1200,2.014,full
NYC,Carroll Gardens,urban_core,47.9,32.0,59.7,51.9,75.9,64.86,90.24,72,56.25,600,0.709,full
NYC,Richmond Hill,urban_core,47.7,64.7,40.6,37.8,88.3,85.79,94.58,31,32.5,600,0.296,full
NYC,Sheepshead Bay,urban_core,47.4,69.1,33.6,39.5,89.8,88.94,93.03,18,21.0,600,0.356,full
NYC,City Island,urban_residential,47.3,77.3,21.0,43.7,92.6,93.32,95.18,9,7.0,600,0.699,full
NYC,Mott Haven,urban_core,47.2,61.4,46.7,33.6,87.1,84.98,89.54,43,42.5,600,0.177,full
NYC,Greenpoint,urban_core,47.1,36.0,65.9,39.5,77.5,69.3,83.98,84,61.5,600,0.557,full
NYC,Peekskill,urban_residential,47.1,51.3,51.7,38.4,83.6,79.67,91.1,10,10.5,600,0.256,full
NYC,Flatlands,urban_core,46.7,67.2,34.5,38.2,89.1,86.47,98.24,20,22.5,600,0.734,full
NYC,Turtle Bay,urban_core,46.6,22.5,73.9,43.5,71.8,59.55,81.96,88,71.5,600,3.311,full
NYC,Crown Heights,urban_core,46.5,56.4,38.6,44.6,85.4,82.57,86.85,30,29.25,600,1.242,full
NYC,Boerum Hill,urban_core,46.4,14.3,85.4,39.6,68.1,55.04,73.83,116,90.5,600,1.161,full
NYC,Kips Bay,urban_core,46.4,47.5,48.8,43.0,82.1,77.27,84.82,12,13.5,600,0.947,no_turn_60_40_bmf_vol
NYC,West Orange,suburban,46.1,35.8,55.0,47.5,77.4,74.16,90.55,7,6.75,1200,1.864,full
LA,Manhattan Beach,urban_residential,45.9,37.2,55.0,45.6,78.4,69.67,89.37,16,11.5,600,2.159,full
LA,Redondo Beach,urban_residential,45.8,38.7,52.5,46.3,79.0,71.56,91.44,12,10.75,600,2.654,full
NYC,Canarsie,urban_core,45.6,59.3,43.6,33.9,86.4,85.24,83.29,35,37.5,600,0.73,full
NYC,Financial District,urban_core,45.6,10.6,84.7,41.3,59.3,40.82,67.64,128,89.5,600,7.609,full
NYC,Ridgewood,urban_core,45.6,43.7,51.2,42.1,80.6,72.87,91.58,56,49.0,600,0.458,full
NYC,Roslyn,suburban,45.6,77.7,18.0,41.1,92.7,92.01,95.42,2,2.0,1200,0.981,no_turn_60_40_bmf_vol
NYC,Inwood,urban_core,45.5,58.8,35.5,42.1,86.2,81.55,96.93,20,24.0,600,0.487,full
NYC,Forest Hills,urban_core,45.4,48.3,48.6,39.4,82.4,75.97,92.23,48,45.75,600,0.365,full
NYC,Rego Park,urban_core,45.3,74.1,19.5,42.1,91.5,90.93,97.19,9,9.75,600,1.16,full
NYC,Sleepy Hollow,urban_core,45.3,63.3,33.0,39.6,87.8,81.37,98.74,17,20.0,600,0.885,full
NYC,Tribeca,urban_core,45.2,20.8,74.3,40.5,71.0,59.14,78.26,87,72.25,600,3.299,full
NYC,Kew Gardens,urban_core,45.1,52.1,40.6,42.5,83.8,79.31,89.0,30,32.5,600,0.46,full
LA,Gardena,urban_residential,45.0,42.2,56.7,36.1,80.5,72.52,90.64,12,12.0,600,1.69,full
NYC,Astoria,urban_core,44.9,35.6,51.7,47.6,77.3,69.7,81.04,14,15.0,600,0.898,no_turn_60_40_bmf_vol
NYC,Rye,suburban,44.7,54.1,40.0,40.0,84.5,79.07,91.78,6,6.5,1200,1.089,no_turn_60_40_bmf_vol
LA,Highland Park,urban_core,44.6,42.9,40.8,50.3,80.7,73.98,89.84,38,32.75,600,0.235,full
NYC,Glendale,urban_core,44.5,73.5,18.0,42.0,91.3,91.49,93.5,9,9.0,600,0.35,full
LA,Inglewood,urban_core,44.5,59.7,33.9,39.8,87.0,83.57,90.22,20,21.5,600,1.662,full
NYC,Jackson Heights,urban_core,44.4,65.8,26.0,41.4,88.7,85.78,97.55,11,13.0,600,0.301,full
LA,Echo Park,urban_core,44.4,39.3,43.0,50.8,79.3,71.76,88.63,39,36.5,600,1.01,full
NYC,Bensonhurst,urban_core,44.3,56.7,38.3,37.9,85.5,82.11,89.36,29,28.75,600,0.309,full
NYC,Battery Park City,urban_core,44.2,48.8,44.2,39.5,82.7,78.37,84.24,43,38.5,600,0.759,full
NYC,Brooklyn Heights,urban_core,44.2,40.4,52.6,39.5,79.3,76.82,66.35,58,50.25,600,0.677,full
LA,Van Nuys,urban_core,44.2,53.7,36.1,42.9,84.9,80.71,92.53,20,25.0,600,0.56,full
NYC,Port Chester,urban_core,44.0,57.7,39.8,34.4,85.8,79.09,95.65,29,31.25,600,0.368,full
NYC,Short Hills,suburban,44.0,63.1,26.4,42.5,87.7,86.36,92.21,4,4.0,1200,1.44,full
NYC,Tremont,urban_core,44.0,58.1,40.3,33.6,86.0,83.6,87.03,31,32.0,600,1.088,full
LA,View Park,suburban,43.6,58.1,30.0,42.7,86.4,82.54,90.05,4,4.0,1200,8.461,no_turn_60_40_bmf_vol
NYC,Harlem,urban_core,43.5,45.4,36.1,49.1,81.3,75.28,86.93,20,25.0,600,2.09,full
NYC,Morningside Heights,urban_core,43.4,40.8,49.4,40.0,79.4,80.34,53.33,51,47.0,600,2.655,full
NYC,Tarrytown,urban_residential,43.3,50.4,35.0,44.6,83.3,76.07,92.7,8,8.5,600,0.33,full
LA,San Pedro,urban_core,43.0,50.0,34.5,44.5,83.5,79.54,87.84,19,22.5,600,0.568,full
NYC,Hamilton Heights,urban_core,42.7,47.3,34.2,46.6,82.1,75.82,90.22,20,22.0,600,0.654,full
LA,El Sereno,urban_core,42.7,71.3,15.0,41.8,91.0,90.71,96.37,7,7.5,600,0.459,full
